,Text,Year
100,Despite the availability of most of the human genome sequence the accu rate identification of genes on the DNA sequence remains to be continu ously improved and updated. This procedure relies on the combined useof a variety of tools including similarity searches and exon/gene predictionprograms. Similarity searches rely on a set of sequence data that has been increas ing very substantially and rapidly during the past months. These includehuman cDNAs mouse genomic DNA and cDNAs and puffer fish genomicsequences. With these resources the definition of a vertebrate set ofgenes is progressively approaching completion. The use of a compact vertebrate genome (the pufferfish Fugu rubripesand Tetraodon nigroviridis) in protein similarity searches has proven to beextremely valuable for the identification of mammalian coding sequences. DNA sequences representing in total 1.3 X coverage of the genome ofTetraodon nigroviridis were used in TBLASTX searches and enabled us todetect sequence matches in 75% of human genes with a backround offalse positive matches below 1%. These results will be compared to othersimilarity searches based on mouse genomic sequences that are activelybeing produced at present. These searches have been completed by BLASTN comparisons using aset of full length cDNA sequences and applied to human chromosome 22.Results of these analyses have been matched to the updated annotationof this chromosome that has been released recently and will be discussed. ,2001
101,The mechanisms whereby inherited DNA mutations cause disease areonly beginning to be understood. These are best understood in the contextof knowledge of the three dimensional structure of the relevant protein. Therefore to improve our understanding of the molecular basis of inherited diseases we have mapped the disease related mutations annotated in theOMIM database onto protein structural data when available. I will present a preliminary review of the relationship between proteinsequence structure function and disease highlighting specific examplesto illustrate our observations. ,2001
102,Missense mutations can knock out residues in proteins that are importantfor binding catalysis or conformational change or have subtle effects onstability or conformation. Because buried residues in proteins tend to beconserved and surface residues vary it is generally thought that surfaceresidues that are not directly involved in the function of proteins are unim portant especially regarding their effects on stability. But all residues inproteins make contributions to stability and structural integrity. Further thestability of proteins has not been optimised in evolution to the maximumvalue but proteins appear to have evolved to a stability that is sufficientlyadequate and to be consonant with other factors such as requirements fordegradation. Consequently some proteins are just on the verge of beingstable and are very susceptible to destabilising mutations. I will illustrate using p53 as an example how binding mutations can inactivate its functionby a variety of effects from altering residues essential for function to chang ing structure and stability. ,2001
103,The Genome Project has accelerated the availability of tools to apply phar macogenetics to the development of personalized medicines. This differsfrom the long term [10 15 year] strategy that is relatively familiar from dis ease gene identification to functional disease links to screenable targets toproducts. A near term [2 6 year] application of pharmacogenetics canaffect markets during the real time careers of current CEOs. Using wholegenome SNP maps to develop Medicine Response Profiles [MRP] foreither efficacy or adverse events it will be possible to test patients beforeprescriptions are filled to determine the right drug for the right patient. Proof of Principle experiments have demonstrated that SNP maps candefine linkage disequilibrium that can rapidly localize and identify suscep tibility disease genes. The application of linkage disequilibrium MRPs foridentifying individuals who are more susceptible for troublesome adverseeffects related to specific drug treatments will be presented as will thepotential effect on the competitive markets for those drugs. ,2001
104,Predictive genetic testing (PT) for Huntington Disease has now beenoffered for longer than for any other late onset genetic illness. The signifi cant number of persons at risk who have participated in testing nowallows insights to be derived that can be generalized for PT for HD world wide. Long term (5 year assessment) of the psychological effects of PThave revealed that patients receiving a decrease risk have improvement inwell being associated with less depression that is maintained for at least5 years after receiving results of PT. By contrast persons receiving anincreased risk result have an immediate increase in anxiety and depres sion followed within 6 months by improved in well being that is not sus tained. By 5 years these persons have no obvious change in psychologi cal profiles from that seen prior to receiving a predictive test result. Despitefears the incidence of catastrophic responses to PT has been low (lessthan 1%) and the concerns that persons at increased risk would have ahigh frequency of suicide has fortunately not been realized. The advent ofa direct genetic test for HD without requiring DNA from family relatives resulted in a significant increase in the acceptability of PT. At the presenttime in countries such as Canada and the United Kingdom approximate ly 10% of the number of persons estimated at risk have now participatedin PT programs. The advent of a genetic test for Huntington. Disease hasalso resulted in numerous new insights which include the recognition thatthere is a much higher mutation rate for HD than previously had been rec ognized that incomplete penetrance for HD is most frequent particularlyin the lower ranges of CAG repeats and that there is significant under ascertainment of persons with CAG repeats less than 40. While PT is gen erally been accepted there has been little demand for prenatal testing forHD. The involvement in large number of persons in PT programs togeth er with the advent of a genetic test for the diagnosis of HD has alsoallowed refinement of the relationship between CAG repeat length and ageof onset. Using the largest cohort of HD patients analyzed to date (involv ing 3500 patients from 39 centers on four continents) a model to accu rately predict probability of disease onset (with mean 95% confidence intervals of 1%) has been developed. Use of this survival model will allowfor the design of clinical trials which will significantly limit the number ofpersons necessary and therefore will reduce the cost as well as the dura tion of such a trial thus more quickly bringing such therapies into clinicalpractice. Affected families and professionals have worked together todevelop guidelines for PT which is likely to be a significant reason for thesuccessful integration of PT into the health care system in different parts ofthe world. ,2001
105,With the recent announcement of a rough draft of the human genomesequence came also the identification of between 1.4 and 2.1 millionSNPs from the private and public efforts. An interesting question iswhether these SNP databases contain the variants that underlie geneticsusceptibility to a variety of common complex diseases or are at least inlinkage disequilibrium with them and if so how to identify them. At presentit appears that testing such a large number of SNPs either in family basedor case control association studies is beyond the scope of existingresources so strategies need to be developed to prioritize the SNPs to betested. Considerable discussion has evolved around the issues of howmany and which SNPs are optimal what study designs should bePlenary Sessions 61employed and which populations should be studied. Attempts at answers to these questions can be obtained by considering the plausible geneticbasis for the diseases being studied as well as what is currently knownabout human evolution the characterization of genetic variation within andbetween human populations and the epidemiology of the diseases ofinterest. It is likely that no single strategy will be successful in all cases and that a broad perspective including a variety of approaches be main tained. ,2001
106,There is considerable debate about whether or not genetic associationanalysis based upon single nucleotide polymorphisms (SNP) will help deci pher the causative basis of complex disease states. Success will ulti mately depend upon the existence of common genomic sequence varia tions that have a significant disease predisposing effect upon cell/organ ism function. To add practical input to the theoretical debate a study shallbe presented that explores the feasibility of using association analysis tostudy non Mendelian Alzheimer s Disease (AD). For this investigation sev eral new research tools were developed and shall be described. Theseinclude the Human Genic Bi Allelic SEquences (HGBASE) SNP database(http //hgbase.cgr.ki.se) and the Dynamic Allele Specific Hybridization(DASH) genotyping method. The AD study was large scale compared to many contemporary efforts and designed to try to circumvent a number of typical pitfalls of associationanalysis such as i) disease heterogeneity ii) population stratification iii)identification of type I errors and iv) dependence upon LD (we tested prin cipally coding sequence and promoter SNPs). A total of 60 SNPs wereevaluated taken from candidate genes (N=55) from processes stronglyimplicated in neurodegenerative illness (oxidative stress andapoptosis/inflammation). We also included 13 variants previously claimedto show significant AD association. Upon completion of this investigation only two polymorphisms showed replicable disease association but thesesignals would not survive multiple test correction for 60 markers. None ofthe 13 prior candidates showed disease association. One of these tworeplicated signals entailed a promoter variation in a key apoptosis regula tor gene (TNFRSF6) and showed evidence for an interaction with APOEalleles. This implies for a role for apoptosis control in the causation of AD and may help explain the mechanism by which the E4 allele of APOEmediates an increased AD risk. Overall these empirical findings emphasize the doubtfulness of previouspositive findings and highlight the low success rates one should expect fortypical current investigations. Multiple testing study power and sample size issues are central to these problems. From this experience ways toimprove the execution of association studies in the future will be proposed. ,2001
107,One of the goals of the Human Genome Project is the systematic func tional analysis of genes that are involved in the pathogenesis of human disease. Due to the similarity in their genomes developmental pathwaysand physiology the mouse has become a major model to study the genet ics and pathogenesis of human diseases. An important tool to obtaininsight into the function of genes is the use of mutants. Mouse mutantshave occured spontaneously in breeding colonies or were chemicallyinduced. Mutants produced by gene targeting and transgenesis play anincreasing role in the dissection of biological pathways. The use of embry onic stem cells and homologous recombination allows a gene drivenanalysis of gene function. A prerequisite for this approach is the availabili ty of the gene(s) whose function is to be investigated. Equally importantand complementary is a phenotype driven approach in which as manymutants as possible are obtained with specific diseases or defects and theresponsible genes are then identified through positional cloning or otherstrategies. The validity and success of this approach was demonstrated inthe course of the genetic and molecular dissection on the pathway that setup the Drosophila body pattern. Although a large number of knockoutmutants will be produced in the coming years most of this mutants will beinsertions that interrupt gene function and in most cases produce null alle les. The full power of a genetic analysis of gene function however requires the availability of multiple alleles of the same gene or of the different genesinvolved in the pathogenesis of the same disease. This include hypo morphs alleles of different strength and gain of function alleles. Such alle les can be obtained after chemical mutagenesis with ENU which inducemainly point mutations. ENU is currently the most powerful mutagen for theproduction of mutants in mice and other species. We have set up a largescale ENU mutagenesis screen at the GSF Research Center. A core facil ity has been created in which mice are treated with ENU. Offspring of theG1 and G3 generation are then screened for dominant and recessive phe notypic abnormalities. Within the last 4 years we have screened more than20000 mice and isolated over 200 genetically confirmed new mousemutants. These include more than 60 mice with skeletal abnormalities andmany with obesity diabetes hypercholestolemia deafness B cell defi ciency or hyper IGE. Our goal is the production of a large number of newanimal models for the study of human disease. Future work will involve thecloning of the corresponding genes and the detailed phenotypic character ization of the mutants obtained. nan,2001
108,Chromosome analysis particularly in leukemia and lymphoma has had adramatic impact on cancer biology. In acute myelogenous leukemia leukemic cells with recurrent balanced translocations may have uniquephenotypes. Several hundred recurring translocations have been identifiedand the breakpoints of about half have been cloned. Cloning translocationbreakpoints has led to the identification of more than one hundred newgenes including BCL2 AML1 TEL PML and MLL. The mRNAs from the fusion genes are inframe and produce functional fusion mRNAs andunique translocation specific proteins. Cloning translocation breakpointshas provided unique diagnostic probes used for fluorescence in situhybridization or RT PCR. Specific therapies based on an understanding ofthe altered function of these fusion genes are now available and more willbe developed. We need to define the alterations in gene expression in these differenttranslocations using an unbiased genome wide strategy. This will permit amore sophisticated approach to identification of the genotype of each spe cific translocation. We used a modified SAGE (Serial Analysis of GeneExpression) technique to analyze normal CD34+ and CD15+ myeloid cells. We identified 42 399 and 37 519 unique tags from CD34+ and CD15+cells respectively. Comparing changes in gene expression betweenCD34+ and CD15+ cells 31 336 tags were absent and 20 054 new tagswere present in CD15+ cells. Information about the similarities as well as the differences in the pattern62 Plenary Sessionsof gene expression associated with each translocation will lead to a more precise understanding of the genetic differences induced by these fusiongenes in leukemia. Identifying the unique gene expression pattern for eachtranslocation will speed the development of a reliable cost efficient diag nostic DNA microarray. This will be critical as we treat each consistenttranslocation with its own genotype specific therapy. ,2001
109,Ideally the detection of a gene whose mutations contribute to cancershould lead to the development of a drug or procedure that cures or pre vents that cancer. So far this sequence of events has occurred extremelyrarely. A glimmer of hope is provided by the example of chronic myeloidleukemia (CML). Over 40 years ago a specific marker the Philadelphiachromosome was found. Over 25 years ago the Ph1 was found to becaused by a translocation. Over 10 years ago the translocation was foundto lead to the fusion of two genes creating a hyperactive tyrosine kinase. In a focused effort to provide an antidote to this kinase hundreds or thou sands of small molecule compounds were tested by a drug company. Aftermany years of endeavor the compound named STI 571 was identified thatappeared to have the desired effect. Today after some 3 years of clinicaltrials STI 571 appears to induce complete remission in almost everypatient with CML even at advanced stages of the disease. There mayeven be hope for cure. What lessons does this story teach us? First painstaking basic research is a prerequisite of any progress. This can bestbe done by academic researchers who are free to choose their projects. Second drug development requires enormous resources that are onlyavailable to the industry. Imagination discipline and hard core targeting isalso required. Third to get from gene discovery totherapy takes a longtime. Fourth the example shows that the scenario is possible. It shouldstart happening more often. My second example highlights the need of open mindedness and imagi nation. Another leukemia acute promyelocytic leukemia (APL) is often cur able today through the combined use of trans retinoic acid and chemother apy. The disease occurs as a result of the fusion of the APL gene with theretinoic acid receptor alpha gene. So one might think that the story resem bles that of CML the knowledge of the molecular event (in this case oneinterfering with the uptake of retinoic acid) hinting that treatment withretinoic acid might be useful. Not at all! Treatment of APL with retinoic acidpreceded the molecular genetic findings. It was part of Chinese folk medi cine! We learn again something that is hardly new in medicine. Imagina tion open mindedness and keen clinical observation are essential. Howabout the relatively recently detected genes that confer susceptibility tocommon cancers? BRCA1 and BRCA2 have been known for approxi mately 7 years. Their diagnostic implications are of course huge in affect ed families and testing for mutations probably leads to better risk aware ness and saved lives. Like in other cancers showing Mendelian inheri tance a major benefit is to those at risk family members who are found tobe mutation negative. But unfortunately the BRCA genes have not yet pro vided real breakthroughs in our understanding of pathogenetic mecha nisms. Curative non cytotoxic drugs are but a dream. Colorectal cancerlooks somewhat brighter. Here the mismatch repair defect caused bymutations in several genes occurs not only in the main Mendelian form ofcolorectal cancer (HNPCC) but also in a sizeable proportion (up to 20%) ofsporadic cancers. These mismatch repair deficient colorectal cancerpatients have a better prognosis than others. The basis of this phenome non is not yet understood however epigenetic phenomena (methylation loss of imprinting) seem to play a role. This gives hope that drugs and/orprocedures may be forthcoming that interfere with these cancers. Alreadymismatch repair deficiency as defined by microsatellite instability is a toolin the large scale molecular screening for HNPCC which in turn facilitateslife saving clinical surveillance. In summary the detection of cancer related genes is beginning to impactthe clinical handling of subsets of many cancers but the road from gene totherapy and prevention is slow and unpredictable. ,2001
