Year,set,words,Count
2001,1,mutation,3035.0
2001,1,variant,295.0
2001,1,genechange,
2001,1,genealteration,5.0
2001,2,disease,1343.0
2001,2,disorder,654.0
2001,2,illness,15.0
2001,2,condition,203.0
2001,2,diagnosis,655.0
2001,2,syndrome,1078.0
2001,3,patient,2778.0
2001,3,individual,658.0
2001,3,person,88.0
2001,3,proband,136.0
2001,3,subject,244.0
2001,3,case,1666.0
2001,4,affected,504.0
2001,4,diagnosed,144.0
2001,4,sufferingfrom,18.0
2001,4,impacted,4.0
2001,4,livingwith,
2001,5,normal,734.0
2001,5,typical,84.0
2001,5,wildtype,77.0
2001,5,abnormal,173.0
2001,5,atypical,35.0
2002,1,mutation,2009.0
2002,1,variant,164.0
2002,1,genechange,1.0
2002,1,genealteration,2.0
2002,2,disease,765.0
2002,2,disorder,436.0
2002,2,illness,11.0
2002,2,condition,132.0
2002,2,diagnosis,488.0
2002,2,syndrome,673.0
2002,3,patient,1763.0
2002,3,individual,320.0
2002,3,person,44.0
2002,3,proband,112.0
2002,3,subject,105.0
2002,3,case,1088.0
2002,4,affected,322.0
2002,4,diagnosed,104.0
2002,4,sufferingfrom,7.0
2002,4,impacted,1.0
2002,4,livingwith,7.0
2002,5,normal,439.0
2002,5,typical,58.0
2002,5,wildtype,46.0
2002,5,abnormal,125.0
2002,5,atypical,13.0
2003,1,mutation,1567.0
2003,1,variant,152.0
2003,1,genechange,
2003,1,genealteration,1.0
2003,2,disease,572.0
2003,2,disorder,310.0
2003,2,illness,3.0
2003,2,condition,72.0
2003,2,diagnosis,287.0
2003,2,syndrome,499.0
2003,3,patient,1572.0
2003,3,individual,286.0
2003,3,person,42.0
2003,3,proband,101.0
2003,3,subject,58.0
2003,3,case,794.0
2003,4,affected,223.0
2003,4,diagnosed,71.0
2003,4,sufferingfrom,9.0
2003,4,impacted,
2003,4,livingwith,
2003,5,normal,377.0
2003,5,typical,53.0
2003,5,wildtype,27.0
2003,5,abnormal,108.0
2003,5,atypical,30.0
2004,1,mutation,2192.0
2004,1,variant,136.0
2004,1,genechange,
2004,1,genealteration,
2004,2,disease,615.0
2004,2,disorder,337.0
2004,2,illness,9.0
2004,2,condition,95.0
2004,2,diagnosis,366.0
2004,2,syndrome,838.0
2004,3,patient,1900.0
2004,3,individual,186.0
2004,3,person,7.0
2004,3,proband,86.0
2004,3,subject,71.0
2004,3,case,1041.0
2004,4,affected,266.0
2004,4,diagnosed,88.0
2004,4,sufferingfrom,10.0
2004,4,impacted,
2004,4,livingwith,1.0
2004,5,normal,365.0
2004,5,typical,63.0
2004,5,wildtype,47.0
2004,5,abnormal,93.0
2004,5,atypical,26.0
2005,1,mutation,2595.0
2005,1,variant,294.0
2005,1,genechange,
2005,1,genealteration,4.0
2005,2,disease,1002.0
2005,2,disorder,560.0
2005,2,illness,3.0
2005,2,condition,130.0
2005,2,diagnosis,485.0
2005,2,syndrome,835.0
2005,3,patient,2634.0
2005,3,individual,384.0
2005,3,person,52.0
2005,3,proband,138.0
2005,3,subject,132.0
2005,3,case,1355.0
2005,4,affected,373.0
2005,4,diagnosed,153.0
2005,4,sufferingfrom,12.0
2005,4,impacted,2.0
2005,4,livingwith,
2005,5,normal,523.0
2005,5,typical,74.0
2005,5,wildtype,53.0
2005,5,abnormal,175.0
2005,5,atypical,30.0
2006,1,mutation,2571.0
2006,1,variant,266.0
2006,1,genechange,1.0
2006,1,genealteration,1.0
2006,2,disease,1045.0
2006,2,disorder,587.0
2006,2,illness,9.0
2006,2,condition,183.0
2006,2,diagnosis,497.0
2006,2,syndrome,900.0
2006,3,patient,2456.0
2006,3,individual,499.0
2006,3,person,91.0
2006,3,proband,121.0
2006,3,subject,146.0
2006,3,case,1168.0
2006,4,affected,363.0
2006,4,diagnosed,135.0
2006,4,sufferingfrom,22.0
2006,4,impacted,1.0
2006,4,livingwith,3.0
2006,5,normal,482.0
2006,5,typical,81.0
2006,5,wildtype,47.0
2006,5,abnormal,123.0
2006,5,atypical,30.0
2007,1,mutation,2243.0
2007,1,variant,308.0
2007,1,genechange,
2007,1,genealteration,2.0
2007,2,disease,925.0
2007,2,disorder,521.0
2007,2,illness,7.0
2007,2,condition,136.0
2007,2,diagnosis,414.0
2007,2,syndrome,885.0
2007,3,patient,2415.0
2007,3,individual,445.0
2007,3,person,83.0
2007,3,proband,108.0
2007,3,subject,173.0
2007,3,case,1248.0
2007,4,affected,314.0
2007,4,diagnosed,131.0
2007,4,sufferingfrom,15.0
2007,4,impacted,
2007,4,livingwith,3.0
2007,5,normal,550.0
2007,5,typical,89.0
2007,5,wildtype,36.0
2007,5,abnormal,153.0
2007,5,atypical,24.0
2008,1,mutation,2885.0
2008,1,variant,484.0
2008,1,genechange,1.0
2008,1,genealteration,
2008,2,disease,1199.0
2008,2,disorder,659.0
2008,2,illness,25.0
2008,2,condition,232.0
2008,2,diagnosis,559.0
2008,2,syndrome,972.0
2008,3,patient,3216.0
2008,3,individual,518.0
2008,3,person,111.0
2008,3,proband,133.0
2008,3,subject,214.0
2008,3,case,1546.0
2008,4,affected,378.0
2008,4,diagnosed,192.0
2008,4,sufferingfrom,12.0
2008,4,impacted,1.0
2008,4,livingwith,7.0
2008,5,normal,657.0
2008,5,typical,85.0
2008,5,wildtype,56.0
2008,5,abnormal,220.0
2008,5,atypical,32.0
2009,1,mutation,2567.0
2009,1,variant,556.0
2009,1,genechange,2.0
2009,1,genealteration,1.0
2009,2,disease,1107.0
2009,2,disorder,623.0
2009,2,illness,12.0
2009,2,condition,150.0
2009,2,diagnosis,479.0
2009,2,syndrome,849.0
2009,3,patient,2960.0
2009,3,individual,411.0
2009,3,person,61.0
2009,3,proband,116.0
2009,3,subject,187.0
2009,3,case,1282.0
2009,4,affected,290.0
2009,4,diagnosed,163.0
2009,4,sufferingfrom,7.0
2009,4,impacted,
2009,4,livingwith,1.0
2009,5,normal,521.0
2009,5,typical,84.0
2009,5,wildtype,57.0
2009,5,abnormal,144.0
2009,5,atypical,26.0
2010,1,mutation,2430.0
2010,1,variant,514.0
2010,1,genechange,2.0
2010,1,genealteration,5.0
2010,2,disease,1135.0
2010,2,disorder,631.0
2010,2,illness,27.0
2010,2,condition,242.0
2010,2,diagnosis,447.0
2010,2,syndrome,825.0
2010,3,patient,2729.0
2010,3,individual,492.0
2010,3,person,84.0
2010,3,proband,122.0
2010,3,subject,150.0
2010,3,case,1242.0
2010,4,affected,341.0
2010,4,diagnosed,146.0
2010,4,sufferingfrom,5.0
2010,4,impacted,1.0
2010,4,livingwith,6.0
2010,5,normal,513.0
2010,5,typical,55.0
2010,5,wildtype,46.0
2010,5,abnormal,122.0
2010,5,atypical,29.0
2011,1,mutation,3254.0
2011,1,variant,810.0
2011,1,genechange,
2011,1,genealteration,2.0
2011,2,disease,1396.0
2011,2,disorder,853.0
2011,2,illness,14.0
2011,2,condition,185.0
2011,2,diagnosis,575.0
2011,2,syndrome,1133.0
2011,3,patient,3582.0
2011,3,individual,581.0
2011,3,person,82.0
2011,3,proband,172.0
2011,3,subject,255.0
2011,3,case,1465.0
2011,4,affected,400.0
2011,4,diagnosed,182.0
2011,4,sufferingfrom,15.0
2011,4,impacted,3.0
2011,4,livingwith,2.0
2011,5,normal,530.0
2011,5,typical,80.0
2011,5,wildtype,55.0
2011,5,abnormal,181.0
2011,5,atypical,33.0
2012,1,mutation,2802.0
2012,1,variant,750.0
2012,1,genechange,
2012,1,genealteration,
2012,2,disease,1086.0
2012,2,disorder,713.0
2012,2,illness,12.0
2012,2,condition,195.0
2012,2,diagnosis,529.0
2012,2,syndrome,1035.0
2012,3,patient,3405.0
2012,3,individual,514.0
2012,3,person,67.0
2012,3,proband,121.0
2012,3,subject,180.0
2012,3,case,1413.0
2012,4,affected,400.0
2012,4,diagnosed,195.0
2012,4,sufferingfrom,17.0
2012,4,impacted,1.0
2012,4,livingwith,1.0
2012,5,normal,541.0
2012,5,typical,98.0
2012,5,wildtype,65.0
2012,5,abnormal,143.0
2012,5,atypical,38.0
2013,1,mutation,4090.0
2013,1,variant,1268.0
2013,1,genechange,
2013,1,genealteration,6.0
2013,2,disease,1619.0
2013,2,disorder,883.0
2013,2,illness,9.0
2013,2,condition,255.0
2013,2,diagnosis,741.0
2013,2,syndrome,1365.0
2013,3,patient,4251.0
2013,3,individual,684.0
2013,3,person,55.0
2013,3,proband,176.0
2013,3,subject,213.0
2013,3,case,1903.0
2013,4,affected,545.0
2013,4,diagnosed,234.0
2013,4,sufferingfrom,19.0
2013,4,impacted,4.0
2013,4,livingwith,1.0
2013,5,normal,589.0
2013,5,typical,118.0
2013,5,wildtype,102.0
2013,5,abnormal,199.0
2013,5,atypical,67.0
2014,1,mutation,3708.0
2014,1,variant,1436.0
2014,1,genechange,1.0
2014,1,genealteration,2.0
2014,2,disease,1646.0
2014,2,disorder,887.0
2014,2,illness,8.0
2014,2,condition,255.0
2014,2,diagnosis,771.0
2014,2,syndrome,1136.0
2014,3,patient,4134.0
2014,3,individual,639.0
2014,3,person,112.0
2014,3,proband,192.0
2014,3,subject,250.0
2014,3,case,1616.0
2014,4,affected,524.0
2014,4,diagnosed,247.0
2014,4,sufferingfrom,13.0
2014,4,impacted,3.0
2014,4,livingwith,1.0
2014,5,normal,538.0
2014,5,typical,95.0
2014,5,wildtype,79.0
2014,5,abnormal,160.0
2014,5,atypical,39.0
2015,1,mutation,3241.0
2015,1,variant,1492.0
2015,1,genechange,1.0
2015,1,genealteration,2.0
2015,2,disease,1509.0
2015,2,disorder,737.0
2015,2,illness,16.0
2015,2,condition,236.0
2015,2,diagnosis,697.0
2015,2,syndrome,1020.0
2015,3,patient,3479.0
2015,3,individual,607.0
2015,3,person,91.0
2015,3,proband,133.0
2015,3,subject,170.0
2015,3,case,1374.0
2015,4,affected,415.0
2015,4,diagnosed,206.0
2015,4,sufferingfrom,14.0
2015,4,impacted,2.0
2015,4,livingwith,2.0
2015,5,normal,398.0
2015,5,typical,86.0
2015,5,wildtype,71.0
2015,5,abnormal,155.0
2015,5,atypical,54.0
2016,1,mutation,3194.0
2016,1,variant,2124.0
2016,1,genechange,
2016,1,genealteration,3.0
2016,2,disease,1437.0
2016,2,disorder,827.0
2016,2,illness,18.0
2016,2,condition,242.0
2016,2,diagnosis,712.0
2016,2,syndrome,1035.0
2016,3,patient,3592.0
2016,3,individual,562.0
2016,3,person,87.0
2016,3,proband,171.0
2016,3,subject,151.0
2016,3,case,1489.0
2016,4,affected,458.0
2016,4,diagnosed,255.0
2016,4,sufferingfrom,18.0
2016,4,impacted,6.0
2016,4,livingwith,1.0
2016,5,normal,514.0
2016,5,typical,84.0
2016,5,wildtype,98.0
2016,5,abnormal,135.0
2016,5,atypical,43.0
2017,1,mutation,2710.0
2017,1,variant,1633.0
2017,1,genechange,
2017,1,genealteration,1.0
2017,2,disease,1197.0
2017,2,disorder,739.0
2017,2,illness,10.0
2017,2,condition,171.0
2017,2,diagnosis,650.0
2017,2,syndrome,895.0
2017,3,patient,2914.0
2017,3,individual,451.0
2017,3,person,37.0
2017,3,proband,160.0
2017,3,subject,84.0
2017,3,case,1097.0
2017,4,affected,363.0
2017,4,diagnosed,169.0
2017,4,sufferingfrom,7.0
2017,4,impacted,3.0
2017,4,livingwith,1.0
2017,5,normal,312.0
2017,5,typical,59.0
2017,5,wildtype,58.0
2017,5,abnormal,126.0
2017,5,atypical,37.0
2018,1,mutation,2247.0
2018,1,variant,2071.0
2018,1,genechange,1.0
2018,1,genealteration,3.0
2018,2,disease,1213.0
2018,2,disorder,838.0
2018,2,illness,13.0
2018,2,condition,211.0
2018,2,diagnosis,598.0
2018,2,syndrome,1035.0
2018,3,patient,2939.0
2018,3,individual,440.0
2018,3,person,52.0
2018,3,proband,147.0
2018,3,subject,134.0
2018,3,case,1122.0
2018,4,affected,342.0
2018,4,diagnosed,168.0
2018,4,sufferingfrom,8.0
2018,4,impacted,4.0
2018,4,livingwith,1.0
2018,5,normal,314.0
2018,5,typical,80.0
2018,5,wildtype,51.0
2018,5,abnormal,106.0
2018,5,atypical,39.0
2019,1,mutation,1797.0
2019,1,variant,2765.0
2019,1,genechange,
2019,1,genealteration,2.0
2019,2,disease,1453.0
2019,2,disorder,763.0
2019,2,illness,11.0
2019,2,condition,217.0
2019,2,diagnosis,628.0
2019,2,syndrome,701.0
2019,3,patient,2951.0
2019,3,individual,611.0
2019,3,person,52.0
2019,3,proband,162.0
2019,3,subject,106.0
2019,3,case,1174.0
2019,4,affected,301.0
2019,4,diagnosed,146.0
2019,4,sufferingfrom,9.0
2019,4,impacted,7.0
2019,4,livingwith,3.0
2019,5,normal,241.0
2019,5,typical,46.0
2019,5,wildtype,70.0
2019,5,abnormal,116.0
2019,5,atypical,42.0
2020,1,mutation,2011.0
2020,1,variant,3653.0
2020,1,genechange,
2020,1,genealteration,2.0
2020,2,disease,1535.0
2020,2,disorder,987.0
2020,2,illness,8.0
2020,2,condition,234.0
2020,2,diagnosis,808.0
2020,2,syndrome,1296.0
2020,3,patient,3702.0
2020,3,individual,589.0
2020,3,person,42.0
2020,3,proband,207.0
2020,3,subject,76.0
2020,3,case,1373.0
2020,4,affected,395.0
2020,4,diagnosed,223.0
2020,4,sufferingfrom,19.0
2020,4,impacted,3.0
2020,4,livingwith,
2020,5,normal,351.0
2020,5,typical,88.0
2020,5,wildtype,66.0
2020,5,abnormal,125.0
2020,5,atypical,63.0
2021,1,mutation,1807.0
2021,1,variant,4755.0
2021,1,genechange,1.0
2021,1,genealteration,3.0
2021,2,disease,1889.0
2021,2,disorder,1320.0
2021,2,illness,6.0
2021,2,condition,279.0
2021,2,diagnosis,1004.0
2021,2,syndrome,1222.0
2021,3,patient,4266.0
2021,3,individual,825.0
2021,3,person,90.0
2021,3,proband,276.0
2021,3,subject,91.0
2021,3,case,1721.0
2021,4,affected,459.0
2021,4,diagnosed,313.0
2021,4,sufferingfrom,6.0
2021,4,impacted,6.0
2021,4,livingwith,5.0
2021,5,normal,342.0
2021,5,typical,78.0
2021,5,wildtype,82.0
2021,5,abnormal,101.0
2021,5,atypical,57.0
